query                key                  attn_score          
_exclaimed           272                  -54.76194           
uctions              167                  -53.67604           
aba                  78                   50.33703            
itance               62                   50.29925            
_authentic           225                  -49.90266           
LIST                 289                  -49.59383           
For                  290                  -48.70641           
osal                 125                  -48.45013           
acion                223                  -48.06889           
----------           57                   47.88939            
_Persia              72                   47.71878            
elines               55                   47.71668            
_Phillies            72                   47.40894            
_knight              282                  47.38703            
_fatal               0                    -46.14256           
_Tyler               46                   45.69642            
kees                 163                  -45.47971           
inished              283                  45.44633            
_Asian               140                  -45.32904           
di                   129                  45.07172            
skirts               263                  44.59255            
Independent          126                  -44.53950           
_Gabe                93                   -44.48424           
_Norris              284                  -44.39705           
_face                146                  -44.33077           
onnaissance          279                  -44.31548           
_roadmap             52                   -44.23411           
_day                 210                  44.21593            
_FBI                 189                  -44.07755           
_Asheville           282                  -43.94793           
_pills               81                   -43.74059           
_pollut              216                  -43.65666           
uno                  249                  -43.59592           
_Undead              286                  43.56654            
Toronto              299                  43.36912            
irt                  165                  -43.11435           
_Skin                67                   -42.92248           
_freshwater          201                  42.83266            
_Extras              20                   42.77913            
_Tiff                175                  42.77486            
_JUST                228                  42.68196            
_assay               75                   -42.58346           
auto                 96                   42.52894            
_issued              124                  42.52857            
_merit               244                  -42.38250           
_DS                  200                  42.37674            
_bargain             283                  -42.30129           
_CPU                 135                  42.25074            
_Rh                  103                  42.19520            
_omn                 24                   42.08105            
_riots               226                  -41.77787           
Saudi                279                  -41.77732           
_Emanuel             20                   -41.74199           
_ISPs                97                   -41.73384           
754                  14                   41.65755            
1111                 199                  -41.54227           
wings                59                   41.50025            
porter               274                  -41.43319           
aurus                22                   -41.41749           
イト                   56                   -41.35062           
aldi                 226                  41.30313            
_harbour             220                  -41.23941           
Settings             152                  -41.14613           
wings                159                  -41.09921           
_networking          140                  -41.07824           
_Enix                221                  41.05686            
_Keynes              91                   -41.02753           
109                  194                  -41.02056           
_locking             216                  40.95662            
_tweeted             30                   40.92152            
_interrupt           93                   40.91238            
oser                 76                   -40.85761           
_Cos                 257                  40.77333            
_maiden              47                   -40.71803           
684                  280                  -40.66998           
ial                  178                  -40.62096           
_spawned             293                  -40.61124           
_particip            176                  -40.60965           
esc                  178                  -40.57215           
_declined            212                  -40.55141           
_Spears              58                   -40.50649           
ortium               2                    -40.37972           
Narr                 250                  -40.35295           
abetic               132                  -40.34852           
_Submit              100                  -40.34567           
_lull                238                  -40.27974           
_misplaced           6                    -40.26334           
IGH                  260                  40.15921            
_distributing        150                  -40.13364           
_heavens             296                  -40.11131           
693                  8                    -40.03571           
_manifestations      118                  -39.91840           
_SK                  197                  39.82653            
dom                  118                  39.80595            
_epile               90                   39.74561            
enders               218                  -39.74222           
Supplement           15                   -39.71497           
ulk                  131                  -39.62684           
aunting              166                  -39.61797           
620                  50                   -39.59544           
House                22                   -39.53212           
_CSS                 251                  -39.50256           
ospital              191                  39.49283            
Set                  128                  -39.47683           
AND                  41                   -39.47640           
_interference        237                  -39.47493           
_Desk                6                    -39.45242           
_electron            118                  -39.42539           
_english             152                  -39.41613           
_Gravity             124                  -39.38329           
imens                37                   -39.30648           
_ever                263                  39.26226            
_Ov                  101                  -39.23320           
_subscribers         47                   -39.22303           
_Angle               275                  39.21379            
oves                 101                  -39.16700           
izzy                 73                   39.10703            
