query                key                  attn_score          
iii                  iii                  144.11014           
inen                 inen                 140.57520           
_midfield            _midfield            134.22525           
ür                   ür                   132.29196           
_goalkeeper          _goalkeeper          126.52802           
_goalkeeper          _midfielder          125.78093           
_Tottenham           _Tottenham           125.45672           
_receivers           _receivers           124.73070           
_homer               _homer               124.67026           
_PHI                 _PHI                 123.98880           
_midfielder          _midfielder          123.06765           
letico               letico               122.90709           
_goalkeeper          _striker             122.81971           
_receivers           _linebackers         121.19147           
_inning              _inning              121.11796           
_defenseman          _defenseman          121.11643           
_rusher              _rusher              120.47676           
_midfielder          _striker             120.45956           
_scorer              _scorer              120.29532           
_Continue            _Continue            119.92132           
_receivers           _rusher              119.84544           
_linebackers         _linebackers         119.80628           
_Trafford            _Trafford            119.43562           
_midfielder          _goalkeeper          118.39627           
_receivers           _linemen             118.34370           
_receivers           _Seahawks            118.20567           
_striker             _striker             118.19426           
_Kamp                _Kamp                118.03206           
_Chr                 _Chr                 117.44359           
_striker             _midfielder          117.38760           
_scorer              _defenseman          116.74839           
_goalkeeper          _winger              116.68411           
_cornerback          _cornerback          116.48909           
_homer               _inning              116.22691           
_Bayern              _Bayern              116.01366           
_receivers           _quarterbacks        115.98301           
_cornerback          _rusher              115.48631           
_midfielder          _winger              115.47025           
_lantern             _lantern             115.44844           
_scorer              _Celtics             115.43306           
_Timbers             _Timbers             115.42452           
_receivers           _receiver            115.40496           
ottenham             _Tottenham           114.96007           
_����                _����                114.74782           
inen                 ür                   114.69448           
_Tottenham           ottenham             114.61761           
_receivers           _Buccaneers          114.52176           
_scorer              _Canadiens           114.44769           
_scorer              _Mavericks           114.11244           
_scorer              _goaltender          113.92919           
_midfield            _outfield            113.89877           
_scorer              _Sixers              113.83656           
_defenseman          _Canadiens           113.80697           
_Juventus            _Juventus            113.73726           
_innings             _innings             113.68221           
_receivers           _Redskins            113.24577           
ickets               ickets               113.20926           
_FC                  _FC                  112.80798           
_Manny               _Manny               112.78544           
_linebackers         _receivers           112.78056           
_Supreme             _Supreme             112.75209           
_scorer              _Canucks             112.68835           
_striker             _goalkeeper          112.66743           
_midfield            _bullpen             112.62999           
_linebackers         _rusher              112.49622           
_receivers           _Bucs                112.46871           
_receivers           _Dolphins            112.34728           
_scorer              _Lakers              112.33516           
emouth               _Sunderland          112.32958           
_Tottenham           _Swansea             112.30263           
entle                entle                112.27023           
_rusher              _Seahawks            112.21424           
_striker             _winger              112.07314           
_receivers           _Chargers            112.02561           
_scorer              _striker             111.87827           
_scorer              _Timberwolves        111.83730           
_scorer              _NBA                 111.82038           
_deg                 _deg                 111.63136           
_Sunderland          _Sunderland          111.57198           
_receivers           _Falcons             111.55434           
_linebackers         _linemen             111.50157           
_Swansea             _Swansea             111.41290           
_rusher              _linebackers         111.36681           
_receivers           _Jaguars             111.28398           
_cornerback          _linebacker          111.17715           
_expl                _expl                111.14494           
_footballer          _footballer          111.02182           
_vulner              _vulner              110.95933           
_receivers           _Ravens              110.89410           
_goalkeeper          _fielder             110.88009           
_der                 ür                   110.78377           
_scorer              _Pelicans            110.74036           
_rusher              _linemen             110.68252           
_scorer              _Oilers              110.67815           
_cornerback          _linebackers         110.62946           
_goalkeeper          _footballer          110.62852           
_winger              _midfielder          110.52569           
emouth               _Trafford            110.50800           
_receivers           _cornerback          110.45039           
_goalkeeper          _defenseman          110.44814           
_Tottenham           _Trafford            110.41947           
_receivers           _Packers             110.41026           
leanor               leanor               110.40201           
ottenham             ottenham             110.35341           
_scorer              _midfielder          110.34660           
_rusher              _cornerback          110.32402           
_Shen                _Shen                110.30811           
_perpend             _perpend             110.26894           
_Bosh                _Bosh                110.22697           
_winger              _striker             110.14182           
_adolesc             _adolesc             110.10127           
aci                  aci                  110.09308           
_scorer              _winger              110.08893           
_commem              _commem              109.97161           
_rusher              _Chargers            109.92490           
_goalie              _goaltender          109.89690           
_receivers           _Cowboys             109.87148           
_defenseman          _Capitals            109.85252           
_Manit               _Manit               109.85246           
_goalkeeper          _goaltender          109.83761           
_Timberwolves        _Timberwolves        109.73918           
_scorer              _NHL                 109.71846           
emouth               _Juventus            109.68087           
_scorer              _Suns                109.59867           
_rusher              _receiver            109.57368           
_scorer              _Rockets             109.53186           
_linemen             _linemen             109.53086           
_scorer              _Knicks              109.49553           
_defenseman          _Sabres              109.47495           
_scorer              _Blackhawks          109.43118           
_defenseman          _Blackhawks          109.40105           
_receiver            _rusher              109.34603           
_Tottenham           _Sunderland          109.34392           
_scorer              _Clippers            109.30956           
_sr                  _sr                  109.27680           
_scorer              _Capitals            109.24371           
_spinal              _spinal              109.23203           
_bullpen             _bullpen             109.22192           
_rusher              _Redskins            109.13783           
_rusher              _Celtics             109.10902           
_receivers           _quarterback         109.10165           
_touchdowns          _touchdowns          108.98773           
��極                  ��極                  108.96213           
_rusher              _receivers           108.90925           
_scorer              _fielder             108.74801           
_rusher              _Dolphins            108.69254           
_Thought             _Thought             108.69113           
_Madison             _Madison             108.68789           
_Proposition         _Proposition         108.66900           
_rusher              _linebacker          108.65299           
_fielder             _fielder             108.65165           
_Rig                 _Rig                 108.63995           
_linebacker          _linebacker          108.59962           
_Receiver            _Receiver            108.58951           
_Decision            _Decision            108.53777           
_Vie                 _Vie                 108.51225           
_Appalach            _Appalach            108.50899           
_goalie              _goalie              108.50157           
emouth               _Everton             108.49470           
_winger              _winger              108.47812           
_Dynamo              _Timbers             108.47105           
_aven                _aven                108.43380           
_keeper              _goalkeeper          108.42444           
_receivers           _linebacker          108.40384           
_Canadiens           _Canadiens           108.40341           
_scorer              _Nuggets             108.31802           
_cornerback          _receiver            108.30849           
_puck                _puck                108.29628           
_receivers           _backfield           108.29522           
_scorer              _Grizzlies           108.26393           
_rusher              _Cowboys             108.26067           
_Sounders            _Sounders            108.16662           
_Arsenal             _Juventus            108.13211           
_midfielder          _defenseman          108.07538           
_goalkeeper          _baseman             108.06374           
_defenseman          _Bruins              108.03684           
_scorer              _Blazers             108.01012           
_defenseman          _Canucks             108.00560           
_scorer              _Pacers              107.95030           
_scorer              _goalie              107.93155           
_linemen             _rusher              107.86958           
_Gaal                _Gaal                107.83923           
_receivers           _Patriots            107.83599           
_scorer              _Bruins              107.78954           
_Gaal                _Mourinho            107.78798           
_rusher              _Buccaneers          107.76116           
_fou                 _fou                 107.73403           
inho                 inho                 107.69463           
_scorer              _Sabres              107.66509           
_Lamb                _Lamb                107.65352           
_scorer              _goalkeeper          107.60536           
_scorer              _Cavaliers           107.59268           
_midfielder          _fielder             107.51533           
_receivers           _Colts               107.50658           
ikini                ikini                107.48987           
_linemen             _linebackers         107.48215           
emouth               _Tottenham           107.46331           
_receivers           _Vikings             107.42786           
_Sounders            _Timbers             107.39436           
_iP                  _iP                  107.38467           
elo                  elo                  107.36976           
_Theresa             _Theresa             107.32079           
_receiver            _receiver            107.31441           
anova                anova                107.30418           
_crawled             _crawled             107.30225           
_goalkeeper          _Timbers             107.22023           
_scorer              _Leafs               107.20776           
_Hockey              _Hockey              107.16921           
_Bulgaria            _Bulgaria            107.15958           
_submar              _submar              107.13354           
_rusher              _Ravens              107.12299           
_Villa               _Sunderland          107.01637           
_BLACK               _BLACK               106.99448           
_linebackers         _cornerback          106.97926           
_receivers           _Broncos             106.87447           
_footballer          _goalkeeper          106.85798           
_Conduct             _Conduct             106.84010           
_rusher              _Bucs                106.81033           
_goalkeeper          _outfielder          106.80528           
_Everton             _Sunderland          106.76250           
_disinformation      _disinformation      106.74477           
_extravagant         _extravagant         106.70762           
_turnovers           _turnovers           106.70088           
_spr                 _spr                 106.69877           
_rusher              _Falcons             106.68448           
_hitter              _hitter              106.66935           
_Timberwolves        _Canucks             106.64388           
_scorer              _Seahawks            106.61302           
_defender            _midfielder          106.61055           
_betting             _betting             106.56277           
_bund                _bund                106.56161           
_strikeouts          _strikeouts          106.48740           
_Timberwolves        _Sixers              106.46992           
_Swansea             _Tottenham           106.45222           
_cornerback          _linemen             106.45079           
_scorer              _Penguins            106.44420           
_footballer          _midfielder          106.43437           
_Tottenham           _Everton             106.42999           
_Timberwolves        _Celtics             106.40154           
_linebackers         _Seahawks            106.38706           
_athleticism         _athleticism         106.37163           
ⓘ                    ⓘ                    106.36469           
_keeper              _midfielder          106.32406           
_rusher              _QB                  106.30355           
_Clemson             _Clemson             106.29897           
_receivers           _QB                  106.29332           
_receivers           _lineman             106.28240           
_defenseman          _Leafs               106.25692           
proc                 proc                 106.25262           
_Empress             _Empress             106.21564           
_scorer              _Cavs                106.19404           
_Timberwolves        _Blackhawks          106.19106           
_Gaal                _Tottenham           106.18917           
_Brom                _Sunderland          106.14104           
_defenseman          _midfielder          106.03455           
_receivers           _Celtics             106.01543           
_scorer              _Raptors             106.01487           
_goaltender          _goaltender          106.00323           
_Surf                _Surf                105.99123           
_veter               _veter               105.98629           
_rusher              _Jaguars             105.98311           
_Dynamo              _Dynamo              105.89835           
_defender            _goalkeeper          105.87650           
_scorer              _Pistons             105.85848           
_goalie              _Canadiens           105.85118           
emouth               _Swansea             105.80725           
_goalkeeper          _goalie              105.79001           
_midfielder          _Timbers             105.78503           
_Cardinal            _cornerback          105.78184           
_princ               _princ               105.73357           
Chelsea              _Sunderland          105.72744           
_Juventus            _Trafford            105.67142           
ryce                 ryce                 105.65768           
_defender            _striker             105.65502           
_receivers           _Eagles              105.64489           
�                    �                    105.62826           
_Paragu              _Paragu              105.58615           
_sturdy              _sturdy              105.56762           
_Rodrig              _Rodrig              105.55673           
_scorer              _Hornets             105.54944           
_linebacker          _rusher              105.53924           
