query                key                  attn_score          
_qui                 _qui                 94.98124            
_si                  _si                  90.55456            
_une                 _qui                 90.29846            
_que                 _qui                 86.28637            
_der                 _der                 84.32698            
_om                  _qui                 83.79488            
_si                  _il                  81.37923            
_que                 _que                 81.33762            
_di                  _qui                 81.14095            
_la                  _qui                 81.10901            
_à                   _qui                 81.06960            
_si                  _qui                 80.65924            
_para                _qui                 80.43482            
_Visit               Newsletter           80.02261            
_Oops                _Oops                79.86373            
_om                  å                    79.61401            
_om                  _si                  79.47887            
_que                 _il                  79.05367            
_para                _si                  78.78669            
_il                  _il                  78.71433            
_este                _si                  78.51760            
_inbox               _Oops                78.31068            
_di                  _il                  78.26320            
_para                _il                  77.77766            
_sul                 _il                  77.40160            
_di                  _si                  77.38321            
_il                  _qui                 77.33864            
_ingen               _qui                 77.12991            
_Tap                 Newsletter           76.66961            
_est                 _qui                 76.61063            
_la                  _la                  76.43063            
_que                 _si                  76.38549            
_kan                 _qui                 76.06039            
_si                  �                    75.87457            
_si                  å                    75.87030            
_kan                 _si                  75.76115            
_ja                  å                    75.69469            
_de                  _il                  75.55346            
_Please              Newsletter           75.40006            
_para                _para                75.23518            
_Keep                Newsletter           75.20364            
_inbox               _inbox               75.08762            
_sul                 _qui                 75.06137            
_nu                  _si                  75.00587            
_la                  _il                  74.90669            
_este                _il                  74.84961            
_om                  _il                  74.77039            
_que                 _la                  74.32433            
_que                 _para                74.22417            
_este                _qui                 74.21666            
_sul                 _si                  74.04649            
_has                 _has                 73.71786            
_une                 _il                  73.55750            
_om                  _este                73.53632            
_Please              _Oops                73.30421            
_une                 _la                  73.28191            
_para                _la                  73.23895            
_have                _have                73.15894            
ische                _der                 73.08126            
_este                _este                72.97060            
_gran                _qui                 72.82449            
_kan                 å                    72.70301            
_na                  _si                  72.59531            
():                  ():                  72.57670            
_have                _has                 72.42592            
_qui                 _si                  72.33595            
_nu                  å                    72.27341            
_Accept              Newsletter           72.25514            
_Stories             _Oops                72.24136            
_de                  _qui                 72.21444            
_my                  _my                  72.20374            
_ingen               å                    72.19878            
_un                  _il                  72.11402            
_qui                 _il                  72.03226            
_si                  _este                71.93516            
_alle                _qui                 71.93044            
_il                  _si                  71.78854            
_ja                  _que                 71.60848            
_la                  _si                  71.49635            
_Be                  Fight                71.37468            
_WITH                Newsletter           71.27377            
_ja                  _qui                 71.21871            
_para                _este                71.15268            
_para                _que                 71.15137            
_mit                 _der                 71.12877            
_Print               Newsletter           71.09475            
_che                 _il                  71.07756            
_di                  å                    70.96352            
_da                  _il                  70.95088            
_dem                 _der                 70.82647            
_kan                 _il                  70.81692            
_ja                  _si                  70.75589            
_qui                 _la                  70.73901            
_se                  _il                  70.73493            
_à                   _il                  70.72581            
_un                  _qui                 70.71258            
_da                  å                    70.34007            
_has                 _have                70.31467            
ste                  _il                  70.25501            
_ont                 _qui                 70.04917            
_les                 _qui                 69.94675            
_di                  _este                69.94620            
_nu                  _il                  69.88805            
_este                å                    69.74522            
_de                  _si                  69.73951            
LLOW                 Newsletter           69.73002            
_den                 _der                 69.60756            
_va                  _qui                 69.60154            
_inbox               _Journalism          69.59405            
_une                 _à                   69.55193            
_defe                _qui                 69.53251            
_este                _la                  69.27491            
_der                 ische                69.26480            
_da                  _qui                 69.18303            
_alle                _der                 69.10500            
_à                   _si                  69.10256            
_om                  �                    69.09767            
_had                 _had                 69.05016            
_el                  _il                  69.01900            
_laun                _qui                 68.93604            
_Copy                _Oops                68.88758            
_en                  _qui                 68.78094            
_promotions          _Oops                68.77444            
_Please              NEWS                 68.69099            
_que                 å                    68.65115            
_que                 _este                68.54219            
_Keep                NEWS                 68.49081            
_philos              _philos              68.48768            
_del                 _il                  68.42307            
_une                 _este                68.41662            
_Tap                 _Oops                68.39817            
_il                  _la                  68.39692            
_Be                  Newsletter           68.37157            
_mit                 ß                    68.33258            
php                  Newsletter           68.28932            
_sul                 _este                68.26358            
_si                  _la                  68.24646            
_som                 å                    68.20370            
Newsletter           Newsletter           68.14134            
_va                  _si                  68.11835            
_de                  _la                  68.07536            
ão                   ão                   68.05076            
_sa                  _si                  68.04959            
_la                  _este                68.04343            
_nu                  �                    67.81167            
_Tap                 NEWS                 67.77517            
_sul                 å                    67.76453            
_vom                 _der                 67.64337            
_be                  _be                  67.63187            
Recommend            Newsletter           67.60848            
_nu                  _este                67.60165            
_ja                  _il                  67.52877            
_nu                  _qui                 67.42707            
_om                  _à                   67.38542            
_di                  _à                   67.37263            
tre                  _qui                 67.36003            
_sa                  å                    67.32828            
_une                 å                    67.32015            
_alle                _il                  67.27780            
_is                  _is                  67.22769            
_was                 _was                 67.15813            
_har                 å                    67.14168            
?).                  ().                  67.01650            
ische                ische                67.00484            
ende                 _der                 66.98856            
_di                  _para                66.93642            
_View                Newsletter           66.93180            
?                    .?                   66.89230            
_defe                _à                   66.87573            
_se                  _qui                 66.85585            
_sa                  _il                  66.85453            
.""                  .""                  66.84490            
_gran                _il                  66.84421            
_del                 _qui                 66.68519            
_defe                _para                66.67529            
_defe                _der                 66.63790            
_de                  _este                66.62776            
NEWS                 NEWS                 66.60217            
..........           Newsletter           66.53749            
_va                  å                    66.53700            
_):                  _):                  66.52383            
_kan                 _este                66.51114            
_de                  _para                66.47517            
_att                 å                    66.47002            
):                   ():                  66.43759            
_Stories             ussie                66.40878            
_inbox               Newsletter           66.40830            
_se                  _si                  66.40769            
_fue                 _il                  66.38306            
_were                _were                66.36187            
_gran                _para                66.34191            
ALS                  Newsletter           66.15615            
_va                  _il                  66.14070            
?                    ().                  66.11790            
_gran                _este                66.11387            
_à                   _este                66.09993            
_di                  _la                  66.08046            
_inbox               ¢                    66.07103            
_une                 _para                66.02077            
_defe                _que                 66.01420            
ALS                  _Oops                65.99574            
_are                 _are                 65.98237            
_para                å                    65.97243            
_Copy                Newsletter           65.94344            
_que                 ão                   65.88668            
_ga                  å                    65.87397            
_your                _your                65.86789            
_Try                 Newsletter           65.79019            
_Save                Newsletter           65.75555            
_da                  _si                  65.63422            
_ja                  _der                 65.60649            
_Be                  _Become              65.60242            
99                   ¢                    65.59658            
_une                 _si                  65.54531            
_kan                 �                    65.53793            
ste                  _si                  65.51308            
_une                 _une                 65.49528            
_ja                  _este                65.48552            
METHOD               Newsletter           65.43000            
_om                  _je                  65.39572            
_qui                 _este                65.36233            
_un                  _este                65.35336            
_que                 _à                   65.34196            
_Tap                 _Newsletter          65.32989            
_à                   _à                   65.30836            
_ja                  _para                65.25113            
_Syl                 _qui                 65.21407            
_fue                 _qui                 65.18654            
_som                 _si                  65.16364            
_para                _à                   65.14794            
_je                  _je                  65.06869            
_su                  _il                  65.02473            
?                    .                    64.94003            
_gran                _si                  64.92765            
_You                 Newsletter           64.90053            
Il                   _il                  64.87781            
_à                   _la                  64.85581            
_Get                 Fight                64.78307            
_inbox               ussie                64.76197            
_Tap                 _Become              64.74349            
_Stories             NEWS                 64.74264            
_objects             ,                    64.73002            
_Stories             ¢                    64.72432            
_un                  _la                  64.70967            
