query                key                  attn_score          
_as                  _described           27.04863            
_as                  _regarded            26.34609            
_as                  _characterize        26.00996            
_to                  _likened             25.20260            
_as                  _portrayed           24.93958            
_to                  _attribut            24.93872            
_to                  _dedicate            24.93362            
_as                  _describes           24.83962            
_to                  _attributed          24.52796            
_as                  _describing          24.22137            
_as                  cribed               23.63220            
_to                  _devoted             23.47577            
_to                  _releg               23.45048            
_to                  _donated             23.42575            
_as                  _characterized       23.39652            
_to                  _delegated           23.19379            
_as                  _Known               23.17182            
_to                  _donate              23.16855            
_to                  _attaching           23.15200            
_as                  _denounced           23.03821            
_as                  _known               22.87514            
_as                  _classify            22.82521            
_as                  _billed              22.79427            
_as                  _viewed              22.76602            
_as                  _describe            22.74757            
_to                  _devote              22.73718            
_as                  _defines             22.61679            
_as                  _portraying          22.46687            
_as                  _portray             22.41467            
_as                  _portrays            22.41403            
_as                  _perceive            22.11497            
_as                  _categorized         22.03537            
_as                  _hailed              22.02270            
_as                  _such                21.93689            
_to                  _ranging             21.88658            
_as                  _interpreted         21.68654            
_to                  _insult              21.61903            
_to                  _donating            21.60604            
_to                  _converting          21.56330            
_to                  _lik                 21.55449            
_to                  _attribute           21.47421            
_as                  _defined             21.46941            
_to                  _compare             21.45862            
_to                  _dispatched          21.41060            
_to                  _submitting          21.22642            
_as                  Known                21.21865            
_to                  Attempts             21.19975            
_to                  _contributed         21.19125            
_to                  _compares            21.14106            
_to                  _narrowed            21.10595            
_to                  _transferring        21.08896            
_as                  _touted              21.05328            
_as                  _construed           21.03689            
_to                  _awoke               21.00448            
_to                  _subord              20.99973            
_to                  _linking             20.97208            
_as                  _dismissing          20.67392            
_to                  _relocate            20.66280            
_as                  _dismissed           20.65764            
_to                  _convert             20.63209            
_to                  _exporting           20.60952            
_as                  _sees                20.59296            
_to                  _contributes         20.37681            
_to                  _assigns             20.19436            
_as                  _referred            20.18463            
_as                  _depicted            20.17624            
_to                  _relocated           20.15431            
_as                  _lauded              20.15416            
_to                  _assign              20.07272            
_to                  _transitioned        20.02629            
_as                  _recognized          20.02607            
_to                  _migrating           20.01121            
_as                  ribing               20.00027            
_to                  _owes                19.99505            
_as                  _identified          19.90105            
_to                  _adapting            19.89919            
_to                  _redirected          19.84019            
_to                  _forwarded           19.83781            
_to                  _attach              19.81610            
_as                  _qualifies           19.79512            
_to                  _exported            19.77959            
_to                  _bring               19.75595            
_to                  _traced              19.70386            
_to                  _expose              19.63916            
_to                  _relegated           19.63158            
_to                  _summoned            19.61034            
_to                  _attaches            19.57656            
_to                  _applies             19.55175            
_to                  _allergic            19.52598            
_to                  _uses                19.52275            
_as                  _refer               19.52181            
_to                  _applying            19.52090            
_to                  _subjected           19.41987            
_as                  _cited               19.40824            
_to                  _transported         19.40577            
_to                  igrated              19.38341            
_to                  _comparing           19.33652            
_to                  _contribute          19.32839            
_to                  _uploading           19.31342            
_to                  _lend                19.28366            
_to                  ccording             19.27286            
_to                  _migrate             19.26345            
_to                  _uploaded            19.25336            
_as                  _dismiss             19.25023            
_to                  _bringing            19.24535            
_as                  branded              19.24152            
_to                  _mailed              19.17915            
_to                  _committed           19.16374            
_to                  _alerted             19.09918            
_to                  _converted           19.09341            
_to                  _conducive           19.04580            
_to                  _accustomed          18.96216            
_to                  _overcame            18.83134            
_to                  _closest             18.78166            
_as                  _interpret           18.77265            
_as                  _quoted              18.75671            
_to                  pired                18.73310            
_to                  _utilizes            18.73191            
_to                  _ported              18.72827            
_to                  _suffice             18.72135            
_to                  _tying               18.71602            
_as                  rued                 18.69608            
_to                  _brought             18.66478            
_to                  _invited             18.64662            
_to                  _susceptibility      18.63897            
_as                  _perceived           18.60353            
_to                  _exposing            18.58220            
_to                  _adapt               18.57669            
_to                  _adjust              18.57058            
_as                  _same                18.56328            
_to                  _stabbed             18.54382            
_to                  _persuade            18.52513            
_to                  Adding               18.50103            
_as                  ribed                18.50047            
_to                  _travelled           18.49747            
_to                  _expects             18.48876            
_to                  _revert              18.48074            
_as                  _disguised           18.48048            
_to                  _surrendered         18.47029            
_to                  _owing               18.46869            
_as                  _cite                18.46135            
_to                  _susceptible         18.45256            
_as                  such                 18.43663            
_as                  _Referred            18.42944            
_as                  _refers              18.42346            
_to                  _submitted           18.41266            
_to                  _lends               18.41174            
_to                  _Adding              18.38861            
_to                  _funnel              18.38774            
_to                  _allocate            18.38698            
_to                  _transitioning       18.38664            
_to                  _tailor              18.35721            
_as                  _classified          18.35432            
_as                  _well                18.33076            
_to                  _dedicated           18.31978            
_to                  _relates             18.31075            
_to                  _expanded            18.28294            
_to                  _shipped             18.27653            
_as                  _framed              18.25945            
_as                  _listed              18.23640            
_to                  livious              18.23383            
_to                  _lengths             18.22340            
_to                  _transferred         18.22297            
_to                  _brings              18.21973            
_to                  _persuaded           18.21925            
_to                  _starving            18.20974            
_to                  _detrimental         18.19464            
_to                  _flew                18.16271            
_to                  _submit              18.16148            
_to                  _propel              18.15853            
_to                  _partnered           18.15046            
_to                  _utilize             18.14708            
_as                  _recognised          18.14540            
_to                  ustomed              18.14323            
_to                  _teamed              18.13666            
_to                  _translate           18.12565            
_to                  _traveled            18.09249            
_as                  _characterization    18.09156            
_to                  _converts            18.07927            
_to                  _contribution        18.06036            
_to                  _upload              18.03446            
_to                  _extend              18.03049            
_to                  _shaping             18.02911            
_as                  _designate           18.02511            
_to                  _connecting          18.02405            
_to                  _Welcome             18.01655            
_to                  _woke                17.99915            
_to                  _contributing        17.96928            
_to                  otes                 17.96762            
_to                  ributes              17.96014            
_to                  _defer               17.94689            
_to                  _lent                17.94649            
_to                  _chalk               17.90677            
_to                  _exposes             17.88289            
_as                  _identifies          17.88144            
_to                  _confined            17.86306            
_to                  _used                17.84346            
_to                  graded               17.84010            
_to                  _linked              17.83692            
_to                  ivot                 17.83101            
_to                  _promoted            17.82562            
_to                  _assigning           17.82542            
_to                  _compared            17.82443            
_as                  _condemned           17.80620            
_as                  ferred               17.79207            
_to                  _reverted            17.75155            
_to                  _subscrib            17.72482            
_to                  _propelled           17.72363            
_to                  _using               17.69958            
_to                  _relayed             17.68163            
_to                  _invite              17.67655            
_as                  _perce               17.67285            
_to                  _attributable        17.66211            
_to                  _apply               17.64686            
_to                  _add                 17.61276            
_to                  _awarding            17.61205            
_to                  _resorted            17.61110            
_to                  _elevate             17.59535            
_to                  _connect             17.58250            
_to                  _lied                17.52403            
_to                  _switched            17.52343            
_to                  _escorted            17.50478            
_to                  _deported            17.50124            
_to                  _starve              17.49295            
_to                  _reacting            17.49109            
_to                  nown                 17.46469            
_to                  _expecting           17.45899            
_to                  _equate              17.45181            
_as                  _reputation          17.43104            
_to                  _traded              17.42830            
_to                  _lending             17.39118            
_to                  _resemblance         17.38125            
_to                  _hired               17.37729            
_to                  _sentenced           17.33364            
_as                  _denouncing          17.32867            
_as                  identified           17.31221            
_to                  _perpendicular       17.28723            
_to                  _extrad              17.28017            
_to                  _returning           17.27690            
_to                  _conversion          17.27236            
_to                  _Referred            17.25805            
_to                  oting                17.24075            
_to                  _extended            17.23176            
_to                  _reacted             17.22880            
_to                  _sprang              17.22494            
_as                  known                17.22309            
_to                  _flown               17.21574            
_to                  _clinging            17.21119            
_to                  _pursuant            17.20112            
_to                  _connects            17.20067            
_to                  _appointed           17.19506            
_to                  _sacrificed          17.18571            
_to                  _inviting            17.17588            
_to                  _wedd                17.16595            
_to                  _objection           17.14578            
_to                  _deployed            17.12674            
_to                  _Compare             17.10619            
_to                  _comparable          17.10092            
_as                  _conceived           17.08860            
_to                  _expect              17.07721            
_to                  _proximity           17.07470            
_to                  _relating            17.05787            
_to                  _distribute          17.04724            
_to                  _addicted            17.04062            
_to                  _commitment          17.02901            
_to                  _considers           17.02448            
_to                  _prescribe           17.01699            
_to                  _ranged              17.01523            
_to                  _pressuring          17.00911            
_to                  _prompting           17.00125            
_to                  _return              16.99967            
_to                  _shifted             16.99453            
_to                  _interpreted         16.99355            
_to                  _amounted            16.99107            
_with                _tasked              16.98970            
_to                  _aspire              16.98861            
_to                  pressed              16.98671            
_to                  _migrated            16.92176            
_to                  _asc                 16.90951            
_to                  _resistant           16.90549            
_to                  _delivered           16.90534            
_to                  _lured               16.86673            
_as                  _marketed            16.85909            
_to                  _confessed           16.85668            
_to                  _licenses            16.84565            
_to                  akens                16.84304            
_to                  _returned            16.84298            
_to                  _sending             16.82115            
_to                  _thanks              16.81697            
_to                  _translating         16.81645            
_to                  igrate               16.80752            
_to                  atered               16.80651            
_as                  _remembered          16.80193            
_to                  _relate              16.79511            
_to                  _utilized            16.76437            
_to                  _conform             16.76392            
_to                  _vulnerable          16.75369            
_to                  _unwillingness       16.72229            
_to                  _testament           16.71939            
_to                  _pressured           16.70136            
_to                  tained               16.69698            
_as                  sofar                16.66699            
_to                  _switching           16.66605            
_to                  _boils               16.64114            
_to                  _causing             16.61744            
_to                  _use                 16.61271            
_to                  _condolences         16.60288            
_to                  _urged               16.60106            
_to                  _allegiance          16.59852            
_to                  _trips               16.58379            
_as                  _manifests           16.58184            
_as                  _advertised          16.57669            
_as                  defined              16.57497            
_to                  _send                16.57435            
_to                  _outsourcing         16.57388            
_to                  _extending           16.56952            
_to                  _doomed              16.56219            
_to                  _surrender           16.55708            
