query                key                  attn_score          
115                  20                   -57.46656           
115                  19                   -57.43663           
115                  22                   -57.32952           
115                  23                   -57.05480           
115                  5                    -57.04940           
115                  21                   -57.03270           
115                  24                   -57.02185           
115                  28                   -56.87773           
115                  7                    -56.86900           
115                  25                   -56.84034           
115                  26                   -56.77139           
115                  8                    -56.76791           
115                  6                    -56.76220           
115                  27                   -56.76209           
115                  17                   -56.73795           
115                  15                   -56.71642           
115                  16                   -56.69824           
115                  10                   -56.66610           
115                  29                   -56.65775           
115                  11                   -56.63369           
115                  3                    -56.62549           
115                  14                   -56.56037           
115                  4                    -56.50135           
115                  18                   -56.45383           
115                  13                   -56.42143           
115                  9                    -56.39950           
115                  30                   -56.30362           
115                  12                   -56.26309           
176                  50                   -56.21247           
115                  31                   -56.17257           
176                  46                   -56.05954           
67                   5                    -56.05913           
115                  2                    -56.05775           
116                  19                   -56.00689           
118                  19                   -56.00347           
118                  20                   -55.99260           
67                   4                    -55.98278           
115                  1                    -55.96202           
116                  20                   -55.94809           
176                  49                   -55.88046           
119                  19                   -55.86783           
116                  22                   -55.86356           
115                  32                   -55.86206           
121                  19                   -55.85900           
122                  19                   -55.84063           
176                  44                   -55.83018           
112                  28                   -55.82832           
120                  19                   -55.82505           
176                  51                   -55.77765           
174                  50                   -55.76922           
121                  20                   -55.76917           
119                  20                   -55.76836           
176                  58                   -55.76453           
176                  53                   -55.75611           
118                  22                   -55.74984           
122                  20                   -55.74515           
112                  24                   -55.72578           
67                   3                    -55.72008           
112                  29                   -55.71689           
67                   1                    -55.71192           
112                  22                   -55.71066           
112                  25                   -55.69333           
67                   7                    -55.68836           
176                  30                   -55.68798           
120                  20                   -55.67635           
174                  46                   -55.65806           
176                  54                   -55.65642           
176                  52                   -55.64871           
116                  24                   -55.63419           
121                  15                   -55.63043           
116                  23                   -55.62636           
112                  27                   -55.62131           
99                   31                   -55.61575           
116                  21                   -55.60918           
176                  45                   -55.60261           
121                  10                   -55.58476           
67                   10                   -55.57920           
151                  10                   -55.57865           
99                   30                   -55.56295           
176                  29                   -55.56274           
174                  44                   -55.56225           
112                  26                   -55.55578           
151                  7                    -55.54852           
122                  10                   -55.54533           
180                  29                   -55.54480           
122                  15                   -55.54242           
115                  33                   -55.53682           
158                  44                   -55.53048           
99                   29                   -55.52827           
122                  7                    -55.50306           
174                  49                   -55.50251           
118                  15                   -55.50237           
151                  9                    -55.50079           
176                  28                   -55.49890           
112                  23                   -55.48748           
99                   28                   -55.47443           
121                  14                   -55.47409           
176                  48                   -55.47100           
180                  30                   -55.46817           
122                  11                   -55.46681           
122                  5                    -55.46353           
151                  11                   -55.46299           
