query                key                  attn_score          
24                   �                    40.80159            
103                  �                    40.19082            
161                  ]                    40.09235            
185                  �                    39.98561            
204                  O                    39.84564            
170                  �                    39.58881            
54                   ^                    -39.30990           
148                  �                    39.11090            
96                   �                    38.90482            
13                   �                    38.86581            
160                  F                    38.80616            
260                  �                    38.37871            
62                   B                    38.37659            
74                   )                    38.32623            
5                    �                    -37.80765           
289                  z                    37.77493            
178                  V                    37.70649            
291                  �                    37.68922            
45                   2                    37.26663            
235                  �                    -36.92353           
96                   G                    36.82071            
288                  �                    36.73184            
69                   �                    36.63493            
116                  �                    -36.62325           
155                  M                    36.60420            
28                   r                    36.35643            
145                  �                    35.98586            
4                    �                    -35.93456           
228                  �                    -35.86088           
264                  X                    35.74554            
201                  &                    35.73709            
192                  U                    -35.60819           
255                  U                    -35.59758           
26                   d                    35.50108            
93                   -                    35.38785            
279                  �                    35.38001            
13                   @                    35.23528            
249                  �                    35.18455            
134                  �                    -35.09520           
251                  �                    -35.03242           
159                  �                    -34.96141           
174                  O                    -34.84342           
253                  "                    34.82826            
294                  �                    34.64760            
164                  �                    -34.28330           
281                  �                    34.27885            
95                   u                    34.27082            
141                  Z                    34.24329            
151                  j                    34.11318            
192                  "                    33.89931            
233                  3                    33.88730            
294                  Y                    -33.72003           
31                   N                    33.65962            
158                  $                    33.64696            
198                  e                    33.63711            
267                  {                    33.61032            
108                  v                    33.59542            
120                  �                    33.58289            
154                  C                    33.53650            
296                  �                    -33.48233           
223                  �                    33.44599            
235                  j                    33.35741            
22                   �                    -33.35220           
151                  �                    -33.19865           
42                   �                    33.13711            
64                   �                    32.97844            
66                   �                    32.95871            
80                   9                    32.92646            
275                  2                    -32.74690           
266                  �                    32.71857            
251                  !                    32.60884            
35                   t                    32.53612            
250                  i                    -32.47001           
225                  @                    32.46008            
254                  �                    32.38552            
127                  7                    -32.34012           
287                  h                    -32.30363           
114                  �                    32.28604            
70                   b                    32.27903            
59                   J                    32.25457            
268                  j                    32.20908            
125                  z                    32.13213            
117                  �                    32.09002            
11                   �                    32.07396            
29                   6                    32.04652            
42                   L                    -32.03294           
157                  r                    31.97347            
56                   �                    31.89252            
10                   /                    31.88442            
85                   �                    31.82885            
282                  �                    31.80858            
177                  %                    31.79165            
243                  _th                  -31.77720           
291                  �                    31.58178            
15                   �                    -31.56911           
191                  �                    31.52990            
30                   \                    31.49975            
221                  '                    -31.49735           
87                   h                    31.49561            
89                   �                    -31.48709           
113                  �                    31.39940            
146                  A                    31.39513            
117                  e                    -31.31527           
298                  M                    31.30425            
183                  �                    31.28091            
81                   �                    31.23218            
53                   P                    -31.21936           
33                   @                    31.21403            
237                  ]                    31.10515            
148                  �                    31.10356            
160                  �                    -31.09075           
206                  $                    31.03136            
18                   X                    31.00312            
38                   �                    30.99464            
254                  �                    30.96104            
137                  s                    -30.93612           
105                  k                    30.86953            
87                   %                    -30.84211           
85                   G                    30.80844            
274                  E                    30.77561            
210                  �                    30.76549            
65                   K                    30.73836            
35                   �                    30.70459            
192                  �                    30.69281            
233                  A                    -30.57950           
14                   [                    30.55542            
2                    !                    30.51771            
295                  �                    -30.50891           
110                  g                    30.49787            
55                   6                    -30.42891           
238                  +                    -30.42100           
231                  8                    30.32947            
271                  J                    -30.23431           
244                  �                    30.23400            
260                  �                    -30.19486           
134                  p                    30.18379            
274                  �                    -30.14955           
235                  R                    30.14577            
168                  S                    30.13954            
232                  "                    30.10405            
103                  %                    30.07060            
45                   �                    -30.04684           
10                   �                    30.03813            
202                  F                    -30.03268           
107                  F                    29.99149            
244                  �                    -29.97216           
86                   $                    29.96302            
98                   %                    29.90603            
21                   �                    -29.87101           
226                  "                    29.85604            
187                  �                    -29.81924           
12                   �                    -29.80030           
275                  �                    -29.79292           
290                  s                    29.74304            
49                   �                    29.73553            
279                  b                    29.65854            
258                  �                    -29.57279           
91                   �                    -29.55984           
242                  !                    29.52856            
213                  o                    29.52447            
125                  d                    -29.51271           
284                  �                    29.50487            
231                  U                    -29.49641           
207                  �                    -29.47318           
292                  h                    -29.44935           
253                  �                    29.42174            
243                  �                    29.41385            
293                  �                    -29.40295           
83                   <                    29.39011            
36                   �                    -29.36969           
27                   7                    -29.35196           
3                    �                    29.35096            
245                  �                    29.34204            
132                  Q                    29.33978            
61                   �                    -29.24545           
101                  W                    -29.23266           
93                   �                    29.22509            
118                  ^                    -29.20476           
204                  v                    -29.18728           
26                   .                    29.17827            
280                  v                    29.15792            
158                  ]                    -29.09665           
259                  �                    29.06780            
247                  �                    -29.04506           
182                  �                    -29.04050           
284                  �                    29.03683            
283                  �                    29.02706            
199                  %                    28.98287            
133                  �                    -28.95841           
198                  9                    28.95136            
75                   �                    -28.94334           
282                  2                    28.93547            
96                   g                    28.91339            
294                  �                    28.91109            
225                  X                    28.88066            
252                  �                    -28.84393           
212                  �                    28.83729            
275                  �                    28.83307            
297                  E                    28.81610            
244                  )                    28.78853            
182                  �                    28.78583            
203                  �                    28.78240            
248                  Y                    -28.72927           
294                  3                    -28.71023           
53                   6                    28.70071            
264                  �                    28.69135            
150                  o                    28.69016            
274                  L                    -28.67451           
131                  �                    -28.66021           
153                  �                    -28.65533           
256                  ot                   -28.64965           
249                  �                    -28.61559           
136                  �                    -28.61348           
37                   g                    -28.58449           
271                  |                    -28.58164           
146                  �                    -28.57365           
250                  s                    -28.57284           
76                   �                    28.54845            
226                  �                    -28.52833           
197                  �                    -28.52183           
215                  g                    28.51899            
32                   �                    -28.47241           
298                  �                    28.45679            
100                  &                    28.45437            
244                  �                    28.43612            
134                  �                    -28.42646           
264                  7                    -28.40609           
162                  �                    -28.40438           
184                  �                    -28.37814           
212                  P                    -28.37742           
151                  �                    -28.35960           
266                  �                    -28.35365           
93                   !                    28.31427            
125                  �                    28.30068            
207                  �                    -28.28210           
6                    T                    28.27402            
122                  u                    -28.27268           
113                  �                    28.26980            
203                  i                    -28.25479           
86                   g                    -28.23227           
154                  p                    28.21908            
211                  �                    -28.19366           
152                  s                    28.17271            
236                  ^                    -28.12419           
161                  &                    28.09642            
262                  a                    28.06367            
221                  �                    28.05577            
113                  y                    28.04281            
181                  �                    28.03707            
285                  �                    -28.01936           
180                  G                    28.01509            
212                  M                    28.01060            
112                  ?                    -27.99910           
204                  y                    27.99872            
201                  �                    27.95549            
216                  A                    27.86905            
183                  �                    27.84780            
137                  �                    -27.84676           
57                   �                    -27.83380           
233                  b                    -27.82185           
118                  f                    -27.81329           
279                  �                    -27.80419           
181                  a                    -27.80172           
237                  E                    27.80015            
40                   �                    -27.79666           
270                  9                    -27.77375           
155                  k                    27.76264            
38                   �                    -27.74401           
161                  |                    -27.73500           
91                   M                    27.72674            
58                   !                    27.69921            
189                  |                    -27.67152           
71                   �                    -27.66579           
54                   H                    -27.64462           
263                  �                    27.62718            
85                   f                    -27.62432           
230                  r                    -27.61567           
214                  |                    27.59508            
30                   $                    27.53113            
20                   G                    27.52637            
117                  W                    27.52295            
98                   �                    -27.51848           
111                  i                    -27.51672           
227                  �                    27.50335            
161                  �                    -27.50155           
287                  �                    27.46171            
277                  3                    -27.45556           
30                   S                    -27.44973           
239                  E                    -27.43669           
189                  _                    -27.42842           
