query                key                  attn_score          
_to                  _to                  70.00826            
,"                   ?,                   60.31958            
],"                  ?,                   56.08400            
.,"                  ?,                   54.69401            
,'"                  ?,                   54.68843            
�                    _�                   -54.42529           
�                    ?,                   54.31632            
s                    �                    -52.30754           
,"                   !,                   52.20922            
',"                  ?,                   51.97409            
),"                  ?,                   51.80795            
?'"                  ?,                   51.42630            
_necessarily         _practically         -49.83278           
_necessarily         _surely              -48.86127           
],"                  !,                   48.52874            
_necessarily         _basically           -48.31094           
_actually            _practically         -48.12138           
_necessarily         _evidently           -48.07755           
,"                   ,                    48.06988            
_invariably          _invariably          -47.95358           
_necessarily         _essentially         -47.75795           
],"                  ,                    47.71821            
_necessarily         _supposedly          -47.62870           
_instinctively       _practically         -47.59120           
_necessarily         _invariably          -47.58768           
_necessarily         _merely              -47.58388           
_invariably          _literally           -47.53123           
_invariably          _basically           -47.51555           
_ostensibly          _supposedly          -47.49109           
_necessarily         _apparently          -47.44105           
,'"                  !,                   47.27222            
_invariably          _practically         -47.24424           
t                    �                    -47.24010           
_necessarily         _presumably          -47.18391           
.,"                  !,                   47.11419            
_largely             _apparently          -47.05637           
_fundamentally       _supposedly          -47.05373           
_indeed              _practically         -47.00385           
_largely             _supposedly          -46.98343           
_necessarily         _necessarily         -46.95531           
,"                   ?,                   46.74026            
.,"                  ,                    46.68330            
_presumably          _surely              -46.66574           
_necessarily         _literally           -46.56995           
_ostensibly          _apparently          -46.54395           
_fundamentally       _practically         -46.40855           
_ultimately          _practically         -46.38447           
_necessarily         _normally            -46.38108           
_invariably          _surely              -46.37958           
_largely             _evidently           -46.33110           
_fundamentally       _merely              -46.32893           
_ostensibly          _evidently           -46.31963           
�                    ?,                   46.31476            
_really              _practically         -46.30279           
_invariably          _essentially         -46.26693           
_invariably          _supposedly          -46.26468           
,''                  ?,                   46.25947            
_necessarily         _certainly           -46.20980           
_predictably         _practically         -46.16718           
inently              _practically         -46.12087           
_invariably          _evidently           -46.03640           
_necessarily         _often               -45.96894           
_few                 A                    -45.93114           
_presumably          _evidently           -45.92727           
_desperately         _supposedly          -45.90015           
_necessarily         _actually            -45.89562           
_invariably          _necessarily         -45.85959           
_ostensibly          _practically         -45.83071           
_generally           _practically         -45.81652           
_undoubtedly         _practically         -45.80340           
_necessarily         _simply              -45.78946           
_largely             _genuinely           -45.75433           
_instinctively       _genuinely           -45.74522           
_invariably          _genuinely           -45.73431           
_certainly           _practically         -45.72363           
_fundamentally       _evidently           -45.59141           
inently              _supposedly          -45.57616           
_few                 _a                   -45.57539           
inently              _apparently          -45.55881           
_ostensibly          _surely              -45.53650           
_instinctively       _supposedly          -45.49276           
_necessarily         _undeniably          -45.46734           
_broadly             _practically         -45.43340           
_actually            _basically           -45.37688           
_theoretically       _practically         -45.35303           
_invariably          _truly               -45.34879           
_invariably          _often               -45.26584           
_fundamentally       _genuinely           -45.26022           
_instinctively       _evidently           -45.25628           
_ultimately          _basically           -45.25132           
_ostensibly          _presumably          -45.19154           
inently              _evidently           -45.18992           
_invariably          _apparently          -45.17623           
_presumably          _supposedly          -45.16370           
_fundamentally       _simply              -45.14745           
,"                   ?",                  45.14003            
_presumably          _presumably          -45.10194           
_similarly           _similarly           -45.04627           
_instinctively       _basically           -45.03596           
,"                   ',                   44.99744            
inently              _basically           -44.98272           
inently              _surely              -44.97631           
_ostensibly          _basically           -44.97465           
_invariably          _actually            -44.94043           
_fundamentally       _apparently          -44.93673           
_ostensibly          _essentially         -44.91379           
_largely             _basically           -44.90902           
_largely             _literally           -44.87909           
_indeed              _basically           -44.87674           
_invariably          _normally            -44.86580           
_invariably          _certainly           -44.84801           
_fundamentally       _basically           -44.84038           
_necessarily         _only                -44.82597           
),"                  !,                   44.80612            
_largely             _surely              -44.80486           
_obviously           _practically         -44.79848           
_instinctively       uously               -44.78286           
_desperately         _apparently          -44.77657           
_certainly           _basically           -44.75888           
_fundamentally       _presumably          -44.75035           
_instinctively       _literally           -44.73701           
_undoubtedly         _basically           -44.73202           
',"                  !,                   44.70555            
_presumably          _apparently          -44.69796           
_traditionally       _practically         -44.69341           
_theoretically       _basically           -44.68165           
_necessarily         _ordinarily          -44.65635           
_largely             _normally            -44.64571           
_necessarily         _barely              -44.63726           
_fundamentally       _undeniably          -44.61156           
_presumably          _even                -44.60590           
�                    !,                   44.59453            
_overtly             _practically         -44.58917           
_predictably         _basically           -44.55617           
_largely             _practically         -44.55566           
_presumably          _basically           -44.54227           
_necessarily         _usually             -44.53951           
_actually            _surely              -44.53777           
_normally            _practically         -44.53464           
_instinctively       _essentially         -44.53329           
,"                   ,"                   44.52366            
_necessarily         _scarcely            -44.49387           
_fundamentally       _necessarily         -44.48679           
_largely             _invariably          -44.48674           
_largely             _seemingly           -44.48483           
_invariably          _presumably          -44.48253           
_fundamentally       _essentially         -44.46644           
_undoubtedly         _evidently           -44.45320           
_presumably          _essentially         -44.43888           
,'"                  ,                    44.42196            
_presumably          _practically         -44.41768           
_fundamentally       _surely              -44.39024           
_undoubtedly         _apparently          -44.37076           
_ostensibly          _invariably          -44.33566           
_actually            _essentially         -44.30956           
_invariably          _usually             -44.30570           
_legitimately        _genuinely           -44.29762           
ulously              _practically         -44.29580           
_presumably          _necessarily         -44.27518           
_necessarily         _seemingly           -44.26228           
inently              _certainly           -44.25937           
inently              _seemingly           -44.19827           
�                    ,                    44.18631            
_invariably          _indeed              -44.18576           
,"                   ,'                   44.09243            
_ultimately          _essentially         -44.05914           
_necessarily         _even                -44.03717           
_necessarily         _undoubtedly         -44.03271           
ibly                 _practically         -43.94669           
_undoubtedly         _surely              -43.92741           
_overtly             _genuinely           -43.91041           
_largely             _only                -43.90849           
_generally           _basically           -43.89958           
_invariably          _undeniably          -43.89475           
_invariably          _merely              -43.89194           
inently              _undeniably          -43.88465           
_undeniably          _practically         -43.87928           
_ostensibly          _normally            -43.84708           
ibly                 _genuinely           -43.84219           
_invariably          _REALLY              -43.84173           
_presumably          _actually            -43.83053           
ishly                _supposedly          -43.82222           
_genuinely           _practically         -43.81536           
_largely             _often               -43.80693           
_always              _practically         -43.80655           
_presumably          _genuinely           -43.79889           
_theoretically       _essentially         -43.79520           
_largely             _essentially         -43.77404           
_radically           _supposedly          -43.77333           
',"                  ,                    43.76793            
_ostensibly          _merely              -43.74678           
_presumably          _certainly           -43.74038           
_indeed              _surely              -43.73883           
_undoubtedly         _normally            -43.73716           
_instantly           _practically         -43.71886           
_fundamentally       _literally           -43.71769           
_overtly             _supposedly          -43.71218           
_desperately         _seemingly           -43.67247           
_predictably         _genuinely           -43.66269           
_largely             _merely              -43.65286           
_largely             _ordinarily          -43.64531           
_ultimately          _supposedly          -43.64518           
_necessarily         _truly               -43.64480           
_necessarily         _indeed              -43.63189           
_desperately         _evidently           -43.61987           
_instinctively       _REALLY              -43.61584           
mittedly             _undeniably          -43.60799           
_legitimately        _practically         -43.59886           
_overtly             _evidently           -43.59672           
m                    �                    -43.59351           
?'"                  !,                   43.58447            
_invariably          _ordinarily          -43.55613           
_similarly           _basically           -43.55170           
_ostensibly          _literally           -43.54982           
_indeed              _essentially         -43.54333           
_ostensibly          _seemingly           -43.53627           
_obviously           _basically           -43.52591           
_necessarily         _theoretically       -43.51860           
_genuinely           _evidently           -43.50141           
_invariably          _theoretically       -43.49738           
_largely             _undeniably          -43.48416           
],"                  ',                   43.47076            
_instinctively       _apparently          -43.44610           
_presumably          _merely              -43.43509           
_necessarily         _obviously           -43.42442           
