query                key                  attn_score          
E                    _Tayyip              36.70586            
Mor                  _Christensen         35.08486            
Mor                  _Moran               35.07219            
EE                   _Tayyip              33.52407            
NN                   _Tayyip              33.33704            
Lyn                  _Tayyip              33.30870            
wy                   _Tayyip              33.16296            
Bow                  _Tayyip              33.00499            
Bow                  _Bowman              32.91579            
New                  _Newman              32.60177            
Bur                  _Tayyip              32.50669            
][                   29                   32.21111            
KA                   _Tayyip              32.15871            
_New                 _Albuquerque         32.04389            
Mor                  _Tayyip              31.86848            
asar                 _Tayyip              31.64857            
W                    _Tayyip              31.58203            
Bow                  _Goodwin             31.47144            
Lev                  _Tayyip              31.45883            
Hay                  _Tayyip              31.35115            
Christ               _Christensen         31.20846            
asar                 _Everton             31.12828            
Ever                 _Tayyip              30.84059            
asar                 _Arsenal             30.83466            
_Stamford            _Patriots            30.83027            
Mor                  _Morales             30.74678            
asar                 Arsenal              30.61047            
Bur                  _Burke               30.55323            
asar                 inho                 30.49648            
_Please              TT                   30.46920            
asar                 _Juventus            30.44693            
_New                 buquerque            30.40870            
_New                 _Newark              30.18042            
.[                   29                   30.13037            
asar                 _Wenger              29.98375            
Ram                  _Ramsey              29.95953            
_Lu                  _Tayyip              29.62957            
Ark                  _Tayyip              29.61265            
_New                 _Orleans             29.60626            
S                    _Simmons             29.44577            
_Lu                  inho                 29.42982            
_New                 _Portsmouth          29.41907            
Rod                  _Tayyip              29.25474            
Bay                  _Tayyip              29.21171            
K                    _Moran               29.19674            
asar                 _Tottenham           29.15992            
asar                 letico               29.11963            
uge                  _Phar                29.03516            
Ram                  _Tayyip              29.01849            
_Stamford            _Tayyip              29.01602            
asar                 _Trafford            28.99199            
".[                  29                   28.98396            
Way                  _Tayyip              28.95919            
_Edwin               _Patriots            28.91941            
_Stamford            _Everton             28.90437            
í                    _Tayyip              28.87971            
Mor                  _Morrison            28.87646            
Crystal              _Tayyip              28.86419            
asar                 _Messi               28.84791            
Steven               _Stevenson           28.80058            
_Chase               _Tayyip              28.79721            
_newsletter          _occasional          28.78998            
_Eden                _Everton             28.76914            
_Tou                 _Tayyip              28.75350            
Ram                  _Christensen         28.60369            
ge                   bour                 28.57584            
Bow                  _Lawson              28.56396            
_inbox               TT                   28.55837            
Steven               _Williamson          28.50676            
asar                 _Guardiola           28.50527            
New                  _Newark              28.48407            
_Stamford            _Arsenal             28.47900            
_Eden                Arsenal              28.44599            
amac                 _Tayyip              28.44144            
_New                 _Newman              28.43694            
_Stamford            _Seahawks            28.42728            
V                    _Tayyip              28.42134            
asar                 _Madrid              28.36481            
_Rue                 _Tayyip              28.30016            
_sorry               TT                   28.29152            
asar                 _Dortmund            28.27253            
_New                 _Rutgers             28.25336            
Bur                  _Ortiz               28.24693            
