query                key                  attn_score          
NEWS                 NEWS                 152.50789           
_wildfire            _wildfire            141.48645           
_Brief               _Brief               140.46725           
;;;;;;;;;;;;         ;;;;;;;;;;;;         140.19640           
fml                  fml                  138.78143           
_Uncommon            _Uncommon            136.65254           
_vertically          _vertically          136.19232           
_behav               _behav               136.05777           
_Prep                _Prep                136.04904           
_Tinker              _Tinker              135.79272           
udicrous             udicrous             135.00227           
_inning              _inning              133.95433           
cyclopedia           cyclopedia           133.81183           
_om                  _om                  133.73419           
_Bermuda             _Bermuda             131.98837           
_Debug               _Debug               131.96362           
_Jinping             _Jinping             131.71722           
_Dow                 _Dow                 131.44354           
_Mercy               _Mercy               131.18373           
_Invention           _Invention           130.72627           
_Circ                _Circ                130.55725           
_Mei                 _Mei                 130.53268           
_Encyclopedia        _Encyclopedia        129.89610           
_Shame               _Shame               129.81729           
_Refuge              _Refuge              129.70076           
Sign                 Sign                 129.60179           
Join                 Join                 129.52275           
_Delicious           _Delicious           129.44257           
_respons             _respons             129.29123           
_Kass                _Kass                129.14839           
iami                 iami                 129.03450           
_Tiny                _Tiny                128.93625           
_Pengu               _Pengu               128.87935           
_Rig                 _Rig                 128.75305           
_Exxon               _Exxon               128.58714           
_Francois            _Francois            128.49969           
�                    �                    128.47685           
_Promotion           _Promotion           128.16505           
_Weiss               _Weiss               128.14073           
�                    �                    128.10374           
_contin              _contin              127.97993           
_Copper              _Copper              127.83637           
_Witt                _Witt                127.78141           
farious              farious              127.61759           
_laun                _laun                127.58442           
_Grape               _Grape               127.24171           
_Specific            _Specific            127.16785           
_unpre               _unpre               126.98058           
cyclopedia           _Encyclopedia        126.83028           
Required             Required             126.81548           
hesion               hesion               126.78974           
_Passion             _Passion             126.63724           
_Cherry              _Cherry              126.14903           
NEWS                 Sign                 125.60880           
_Thought             _Thought             125.55300           
_Nich                _Nich                125.51145           
_Drac                _Drac                125.18526           
_Continue            _Continue            125.14709           
_ambig               _ambig               125.09382           
_Maritime            _Maritime            124.95432           
_Advice              _Advice              124.83872           
_DRAG                _DRAG                124.74904           
_Remain              _Remain              124.48592           
_patriarch           _patriarch           124.44375           
NEWS                 Join                 124.11813           
_obs                 _obs                 124.07259           
_Broken              _Broken              124.05888           
_Cly                 _Cly                 124.04980           
�                    �                    123.68558           
_Pett                _Pett                123.67155           
_Fashion             _Fashion             123.60856           
ンジ                   ンジ                   123.56947           
_Pattern             _Pattern             123.43613           
_Benefit             _Benefit             123.37186           
_Treatment           _Treatment           123.36551           
_Texture             _Texture             123.21735           
_Lumin               _Lumin               123.12856           
_describ             _describ             123.09837           
elo                  elo                  123.09071           
Circ                 _Circ                123.02100           
assert               assert               122.98164           
erence               erence               122.95300           
_violet              _violet              122.88067           
_Piercing            _Piercing            122.86726           
_territ              _territ              122.86676           
_Meh                 _Meh                 122.77594           
_firefighter         _firefighter         122.77554           
merce                merce                122.67259           
_martyr              _martyr              122.65288           
Sign                 NEWS                 122.50099           
_Innovation          _Innovation          122.32355           
_Hannah              _Hannah              122.30321           
_Feast               _Feast               122.30264           
_Pyro                _Pyro                122.23750           
_defin               _defin               122.06614           
ractical             ractical             121.99331           
_Client              _Client              121.73478           
_Header              _Header              121.65699           
_sul                 _sul                 121.63648           
_incorpor            _incorpor            121.60841           
insula               insula               121.59372           
_Authentication      _Authentication      121.43595           
pperc                pperc                121.43171           
_Innocent            _Innocent            121.21404           
д                    д                    121.15099           
_Rober               _Rober               121.12681           
_opin                _opin                121.03599           
_suscept             _suscept             120.92863           
_Sop                 _Sop                 120.80743           
_Vander              _Vander              120.79082           
_Eval                _Eval                120.74097           
_demonic             _demonic             120.72449           
_Aero                _Aero                120.65762           
��                   ��                   120.60430           
_Corner              _Corner              120.56832           
Ire                  Ire                  120.52842           
�                    �                    120.52757           
_Breaking            _Breaking            120.52021           
_Anch                _Anch                120.48454           
_Abe                 _Abe                 120.47887           
_Extended            _Extended            120.46984           
_grou                _grou                120.46663           
_Encyclopedia        cyclopedia           120.45959           
_oun                 _oun                 120.43095           
izontal              izontal              120.39018           
_Gift                _Gift                120.34806           
_hal                 _hal                 120.32802           
_Important           _Important           120.24667           
Paper                Paper                120.18815           
_earthqu             _earthqu             120.07598           
_Liu                 _Liu                 120.01707           
_Membership          _Membership          119.99514           
_hepatitis           _hepatitis           119.95515           
_Ashley              _Ashley              119.89696           
_tac                 _tac                 119.69251           
_embry               _embry               119.67197           
_Flavor              _Flavor              119.66115           
Circ                 Circ                 119.63336           
iii                  iii                  119.62756           
_cs                  _cs                  119.55816           
_Yin                 _Yin                 119.55406           
_blu                 _blu                 119.54925           
_Mil                 _Mil                 119.53321           
_Cunning             _Cunning             119.50842           
_Plague              _Plague              119.49706           
_Grain               _Grain               119.35305           
_Floating            _Floating            119.32824           
_conject             _conject             119.30920           
_Artifact            _Artifact            119.29405           
Expl                 Expl                 119.18693           
herence              herence              119.15880           
_hemor               _hemor               119.14014           
_Friends             _Friends             119.12383           
_Judgment            _Judgment            119.10492           
_Bubble              _Bubble              119.03283           
_reven               _reven               118.97932           
_Puppet              _Puppet              118.94379           
_RG                  _RG                  118.91421           
_vul                 _vul                 118.89668           
_Pratt               _Pratt               118.89087           
emetery              emetery              118.87039           
_experien            _experien            118.79440           
_Critical            _Critical            118.75934           
_GI                  _GI                  118.67638           
_precept             _precept             118.64787           
_conform             _conform             118.61520           
brance               brance               118.55183           
_scient              _scient              118.50784           
_volleyball          _volleyball          118.48921           
_colle               _colle               118.47164           
_Bella               _Bella               118.34933           
_Survival            _Survival            118.34389           
_Key                 _Key                 118.24580           
_Relationship        _Relationship        118.22861           
_Political           _Political           118.17509           
_consecut            _consecut            118.15932           
_Spiral              _Spiral              118.09213           
_Generic             _Generic             118.00138           
ufficient            ufficient            117.99860           
_Pike                _Pike                117.99747           
_����                _����                117.95125           
ゼ                    ゼ                    117.89420           
_david               _david               117.84442           
_herpes              _herpes              117.82372           
_cav                 _cav                 117.78310           
edience              edience              117.76475           
fficiency            fficiency            117.74303           
_mob                 _mob                 117.66704           
_Anxiety             _Anxiety             117.66419           
_Butcher             _Butcher             117.64021           
_Francois            _François            117.61121           
_Mistress            _Mistress            117.60579           
_rc                  _rc                  117.60099           
ongevity             ongevity             117.59949           
_Sharon              _Sharon              117.57596           
_Evaluation          _Evaluation          117.54006           
_cy                  _cy                  117.29591           
